sigla,filename,status,n,extrator
AGU,agu_ptd_2025_2027_anexo_de_entregas_assinado_assinado_assinado-copia_tarjada.pdf,OK,33,docling
AGU,agu_ptd_2025_2027_docdiretivo_assinado_assinado_assinado-copia_tarjada.pdf,OK,6,docling
FIOCRUZ,fiocruz-ptd-06_2024-copia_tarjada.pdf,OK,0,docling
FIOCRUZ,fiocruz_novo-ptd_2-1_docdiretivo_repactuacao_2024-2026_assinado_assinado-copia_tarjada.pdf,OK,0,docling
FIOCRUZ,fiocruz_ptd_anexo_de_entregas_assinado_v1_assinado_assinado-1-copia_tarjada.pdf,OK,61,docling
FUNAI,funai_anexo_de_entregas_repactuado_2026_2027_assinado_assinado_assinado.pdf,OK,21,docling
FUNAI,funai_ptd_2025_2027_docdiretivo_assinado-1_tarjado.pdf,OK,8,docling
INCRA,incra_anexo_de_entregas_assinado-1_assinado_assinado-copia_tarjada.pdf,OK,10,docling
INCRA,incra_ptd_docdiretivo__assinado-1_assinado_assinado-copia_tarjada.pdf,OK,9,docling
ITI,iti_anexo_de_entregas_assinado.pdf,OK,31,docling
ITI,iti_doc_diretivo_assinado-1_tarjado.pdf,OK,6,docling
SGPR,sgpr_ptd_2025_2027_anexo_de_entregas_assinado-copia_tarjada.pdf,OK,15,docling
SGPR,sgpr_ptd_2026_2027_docdiretivo_assinado-copia_tarjada.pdf,OK,0,docling
